SNR,F1 score y_hat,F1 score y
30,0.153571429,0.138464477
35,0.028571429,0.131666667
40,0.129285714,0.129285714
45,0.141277024,0.130384615
50,0.026666667,0.130384615
-10,0,0
-5,0.085238095,0.055555556
0,0.053333333,0.161363636
5,0.208333333,0.082051282
10,0.175238095,0.128571429
15,0.337551338,0.182857143
20,0.078571429,0.23496337
25,0.125324675,0.182857143
30,0.489393939,0.220555556
35,0.132222222,0.16996337
40,0.172741148,0.172741148
45,0.172741148,0.172741148
50,0.066666667,0.172741148
-10,0,0
-5,0.028571429,0
0,0.106666667,0.147142857
5,0.025,0.142777778
10,0.062222222,0.141666667
15,0.207626263,0.19
20,0.368253968,0.176190476
25,0.142857143,0.187857143
30,0.228030303,0.222264957
35,0.806672772,0.219487179
40,0.073333333,0.223333333
45,0.14465812,0.216190476
50,0.123737374,0.213333333
-10,0,0
-5,0.025,0.206666667
0,0.150213675,0.230555556
5,0.19966034,0.251587302
10,0,0.208571429
15,0.016666667,0.068571429
20,0.07,0.137878788
25,0.036666667,0.086753247
30,0.191666667,0.086753247
35,0.050793651,0.086753247
40,0.515555556,0.086753247
45,0.086753247,0.123015873
50,0.086753247,0.086753247
-10,0,0
-5,0,0.066666667
0,0.113419913,0.173809524
5,0.014285714,0.172222222
10,0.320586081,0.230909091
15,0.148809524,0.172222222
20,0.112063492,0.175555556
25,0.24047619,0.172222222
30,0.075,0.172222222
35,0.125,0.172222222
40,0.293571429,0.172222222
45,0.172222222,0.172222222
50,0.164949495,0.172222222
-10,0.066666667,0
-5,0,0
0,0.068571429,0.058333333
5,0.104444444,0.195
10,0.05,0.118571429
15,0.062222222,0.186111111
20,0.133799534,0.176949325
25,0.138333333,0.148809524
30,0.056363636,0.160238095
35,0.056363636,0.138888889
40,0.189579832,0.138888889
45,0.022222222,0.188888889
50,0.211363636,0.163888889
-10,0,0
-5,0.02,0.088888889
0,0.284633965,0.111363636
5,0.356664388,0.093506494
10,0.148333333,0.191515152
15,0.025,0.117460317
20,0.02,0.175714286
25,0.257316017,0.161904762
30,0.145238095,0.168571429
35,0.695912698,0.145238095
40,0.028571429,0.147142857
45,0.147142857,0.147142857
50,0.048571429,0.147142857
-10,0,0
-5,0.04,0.05
0,0.028571429,0.151904762
5,0.104935065,0.161904762
10,0.242142857,0.202380952
15,0.085714286,0.136904762
20,0,0.253571429
25,0.169047619,0.179037629
30,0.204273504,0.168229548
35,0.56987013,0.146324786
40,0.136904762,0.136904762
